"Year","predicted","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Geographic","outcome"
"2003",28.04,21.88,35.14,"Black","Homosexual","Male","Black-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",21.08,16.11,27.08,"Black","Othersexual","Male","Black-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",12.71,10.37,15.49,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",44.97,37.49,52.69,"Black","Bisexual","Female","Black-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",38.2,30.89,46.07,"Black","Homosexual","Female","Black-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",31.25,24.64,38.72,"Black","Othersexual","Female","Black-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",10.96,8.37,14.22,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",38.19,30.73,46.24,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",32.64,25.8,40.32,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",24.88,19.21,31.57,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",18.24,14.47,22.74,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",51.42,43.34,59.43,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",43.89,36.03,52.06,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",35.32,28.2,43.16,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",13.82,10.52,17.94,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",42.61,34.75,50.85,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",36.99,29.59,45.06,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",28.47,22.2,35.7,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",21.23,16.7,26.59,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",55.45,47.23,63.39,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",48.36,40.19,56.61,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",39.8,32.18,47.96,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",12.17,9.14,16.03,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",39.75,32.09,47.95,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",33.78,26.72,41.65,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",25.61,19.78,32.45,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2003",18.98,14.54,24.39,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",52,43.75,60.15,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",45.39,37.27,53.76,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2003",36.01,28.73,43.99,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",9.95,8.31,11.87,"White","Heterosexual","Male","White-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",33.93,27.12,41.49,"White","Bisexual","Male","White-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",29.12,22.77,36.41,"White","Homosexual","Male","White-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",21.43,16.4,27.49,"White","Othersexual","Male","White-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",15.29,13.09,17.78,"White","Heterosexual","Female","White-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",44.25,37.08,51.67,"White","Bisexual","Female","White-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",38.37,30.85,46.49,"White","Homosexual","Female","White-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",31.36,24.82,38.73,"White","Othersexual","Female","White-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",8.05,5.95,10.8,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",29.1,22.62,36.57,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",24.34,18.61,31.15,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",17.94,13.47,23.48,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",13.56,10.23,17.76,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",40.18,32.42,48.46,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",34.71,27.45,42.74,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",26.34,20.3,33.42,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",6.62,5.1,8.56,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",28.31,22.02,35.58,"Black","Bisexual","Male","Black-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",23.46,17.98,30,"Black","Homosexual","Male","Black-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",17.41,13.1,22.77,"Black","Othersexual","Male","Black-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",12.19,9.89,14.93,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",38.95,31.59,46.84,"Black","Bisexual","Female","Black-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",32.85,25.98,40.55,"Black","Homosexual","Female","Black-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",26.42,20.48,33.35,"Black","Othersexual","Female","Black-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",9.67,7.33,12.66,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",32.83,25.87,40.64,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",27.69,21.45,34.94,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",20.49,15.57,26.49,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",13.17,10.2,16.85,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",45.41,37.56,53.51,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",38.22,30.64,46.42,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",30.18,23.6,37.69,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",10.71,8.04,14.14,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",37.15,29.7,45.27,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",31.53,24.7,39.28,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",23.91,18.3,30.6,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",17.31,13.4,22.08,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",48.95,40.8,57.16,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",42.94,34.96,51.31,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",33.86,26.75,41.79,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",10.2,7.56,13.62,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",34.14,26.97,42.1,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",28.58,22.15,36.02,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",21.66,16.46,27.95,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2005",16.15,12.18,21.1,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",45.47,37.33,53.86,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",39.78,31.99,48.13,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2005",30.79,24.06,38.45,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",8.35,7.27,9.58,"White","Heterosexual","Male","White-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",31.74,25.69,38.48,"White","Bisexual","Male","White-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",24.65,19.39,30.79,"White","Homosexual","Male","White-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",19.76,15.36,25.05,"White","Othersexual","Male","White-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",11.06,9.79,12.48,"White","Heterosexual","Female","White-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",45.05,39.11,51.14,"White","Bisexual","Female","White-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",35.9,29.26,43.12,"White","Homosexual","Female","White-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",26.88,21.52,33.01,"White","Othersexual","Female","White-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",7.11,5.34,9.4,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",26.91,21.04,33.71,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",21.75,16.73,27.79,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",16.66,12.65,21.62,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",11.43,8.74,14.8,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",37.01,29.91,44.72,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",31.28,24.74,38.66,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",23.9,18.53,30.25,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",7.21,5.71,9.06,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",25.54,19.98,32.04,"Black","Bisexual","Male","Black-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",21.55,16.65,27.41,"Black","Homosexual","Male","Black-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",15.6,11.84,20.27,"Black","Othersexual","Male","Black-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",10.22,8.26,12.59,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",36.32,29.49,43.74,"Black","Bisexual","Female","Black-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",30.21,23.96,37.28,"Black","Homosexual","Female","Black-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",22.67,17.58,28.73,"Black","Othersexual","Female","Black-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",8.22,6.52,10.31,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",29.3,23.32,36.1,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",24.96,19.56,31.27,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",18.52,14.18,23.82,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",14.26,11.76,17.19,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",39.39,32.54,46.69,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",35.89,28.99,43.43,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",27.53,21.74,34.2,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",10.02,7.76,12.84,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",33,26.38,40.37,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",28.33,22.36,35.17,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",21.36,16.44,27.28,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",15.6,12.4,19.43,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",44.22,36.81,51.9,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",39.25,31.88,47.15,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",31.13,24.73,38.35,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",8.45,6.37,11.11,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",31.06,24.58,38.37,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",25.69,19.98,32.36,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",19.45,14.86,25.03,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2007",13.3,10.17,17.21,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",41.82,34.29,49.76,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",36.16,29.03,43.96,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2007",27.75,21.75,34.68,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",8.94,8.25,9.68,"White","Heterosexual","Male","White-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",35.42,29.83,41.44,"White","Bisexual","Male","White-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",26.47,21.71,31.83,"White","Homosexual","Male","White-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",20.72,16.72,25.39,"White","Othersexual","Male","White-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",11.88,11.09,12.72,"White","Heterosexual","Female","White-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",43.37,39.2,47.64,"White","Bisexual","Female","White-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",38.36,32.33,44.77,"White","Homosexual","Female","White-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",29.46,24.83,34.56,"White","Othersexual","Female","White-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",8.39,6.56,10.66,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",30.14,24.14,36.92,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",25.25,19.84,31.55,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",19.81,15.4,25.11,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",13.23,10.62,16.37,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",40.37,33.38,47.77,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",35.2,28.45,42.59,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",28.51,22.78,35.03,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",8.65,7.22,10.33,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",31.05,25.07,37.74,"Black","Bisexual","Male","Black-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",26.21,20.86,32.35,"Black","Homosexual","Male","Black-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",18.3,14.28,23.15,"Black","Othersexual","Male","Black-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",12.66,10.88,14.7,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",41.99,35.49,48.77,"Black","Bisexual","Female","Black-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",34.2,27.97,41.03,"Black","Homosexual","Female","Black-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",25.74,20.54,31.73,"Black","Othersexual","Female","Black-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",10.98,9.39,12.8,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",34.63,28.38,41.46,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",30.66,24.92,37.06,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",22.89,18.23,28.33,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",16.2,14.2,18.42,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",44.06,38.19,50.09,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",38.66,32.22,45.51,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",31.53,25.72,37.97,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",11.15,9.01,13.72,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",38.52,31.63,45.9,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",32.82,26.46,39.87,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",24.23,19.09,30.25,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",16.68,13.83,19.99,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",49.08,42.12,56.08,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",42.94,35.73,50.46,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",36.14,29.58,43.26,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",11.02,8.87,13.6,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",36.3,29.63,43.54,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",29.27,23.31,36.04,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",22.08,17.32,27.7,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2009",17.45,14.28,21.14,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",47.46,40.45,54.58,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",40.5,33.35,48.08,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2009",32.88,26.62,39.8,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2011",8.62,8.03,9.25,"White","Heterosexual","Male","White-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",34.37,29.4,39.71,"White","Bisexual","Male","White-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",28.02,23.49,33.04,"White","Homosexual","Male","White-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",22.47,18.7,26.74,"White","Othersexual","Male","White-Male","Othersexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",11.59,10.9,12.31,"White","Heterosexual","Female","White-Female","Heterosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2011",45.97,42.19,49.8,"White","Bisexual","Female","White-Female","Bisexual-Female","All 46 States","States","Seriously Considered Suicide"
"2011",39.88,34.17,45.88,"White","Homosexual","Female","White-Female","Homosexual-Female","All 46 States","States","Seriously Considered Suicide"
"2011",28.5,24.37,33.03,"White","Othersexual","Female","White-Female","Othersexual-Female","All 46 States","States","Seriously Considered Suicide"
"2011",10.15,8.64,11.9,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",29.36,23.72,35.7,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","All 46 States","States","Seriously Considered Suicide"
"2011",25.75,20.53,31.78,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","All 46 States","States","Seriously Considered Suicide"
